LOC,LOCd,LOCo,x_lon,y_lat,OA
IPN0000001,Aaron's Hill,aaronshill,-0.630968,51.182855,E00157611
IPN0000003,Abbas Combe,abbascombe,-2.418277,51.002771,E00148507
IPN0081836,Abberley,abberley,-2.375764,52.305185,E00164371
IPN0081838,Abberton,abberton,0.910699,51.834347,E00110198
IPN0081839,Abberton,abberton,-2.008187,52.17951,E00165224
IPN0000008,Abberwick,abberwick,-1.799685,55.412502,E00139241
IPN0000010,Abbess End,abbessend,0.276124,51.777546,E00110579
IPN0000011,Abbess Roding,abbessroding,0.277024,51.778158,E00110579
IPN0000012,Abbey,abbey,-3.351782,54.637333,E00179282
IPN0000013,Abbey,abbey,-3.221929,50.888064,E00100725
IPN0000014,Abbey,abbey,-0.606931,54.487756,E00141965
IPN0000038,Abbey Cowper,abbeycowper,-3.318219,54.844865,E00096543
IPN0000040,Abbeycwmhir,abbeycwmhir,-3.389919,52.331015,W00002540
IPN0000041,Abbeydale,abbeydale,-1.51235,53.335608,E00040173
IPN0000042,Abbeydale Park,abbeydalepark,-1.525099,53.323524,E00040097
IPN0081870,Abbey Dore,abbeydore,-2.896103,51.969422,E00070778
IPN0000044,Abbey End,abbeyend,-1.580435,52.344083,E00159371
IPN0000045,Abbey Fields,abbeyfields,-1.584978,52.344863,E00159361
IPN0000046,Abbey Gardens,abbeygardens,-1.277513,51.670853,E00173190
IPN0000049,Abbey Green,abbeygreen,-2.032838,53.117718,E00151898
IPN0000048,Abbeygreen,abbeygreen,-2.731148,52.885165,E00147167
IPN0000050,Abbey Hey,abbeyhey,-2.156621,53.464681,E00026277
IPN0000052,Abbey Hill,abbeyhill,-3.022255,50.95671,E00167311
IPN0000055,Abbey House,abbeyhouse,-3.273027,54.843999,E00096544
IPN0000056,Abbey Hulton,abbeyhulton,-2.140893,53.035118,E00071764
IPN0000058,Abbeylands,abbeylands,-1.716832,55.424558,E00190031
IPN0000059,Abbey Meads,abbeymeads,-1.796431,51.600796,E00078445
IPN0000060,Abbey Mills,abbeymills,-1.713947,55.167554,E00139700
IPN0000062,Abbey Park,abbeypark,-1.136521,52.645233,E00169497
IPN0000066,Abbey Stanger,abbeystanger,-3.337252,54.619519,E00179282
IPN0000069,Abbeystead,abbeystead,-2.670189,53.983695,E00127422
IPN0000071,Abbey Town,abbeytown,-3.285496,54.844317,E00096544
IPN0000072,Abbey Village,abbeyvillage,-2.545952,53.700062,E00126783
IPN0000073,Abbey Wood,abbeywood,0.108054,51.49078,E00007805
IPN0081888,Abbots Bickington,abbotsbickington,-4.299424,50.897395,E00102883
IPN0081890,Abbots Bromley,abbotsbromley,-1.877256,52.81717,E00149856
IPN0000080,Abbotsbury,abbotsbury,-3.611327,50.532048,E00102409
IPN0000082,Abbotsford,abbotsford,-0.14444,50.972883,E00188697
IPN0081895,Abbotsham,abbotsham,-4.247445,51.016075,E00102809
IPN0000084,Abbots Haye,abbotshaye,-1.970914,52.994925,E00151752
IPN0000085,Abbotside,abbotside,-2.451308,51.615022,E00173071
IPN0081897,Abbotskerswell,abbotskerswell,-3.6134,50.507601,E00102279
IPN0000088,Abbots Langley,abbotslangley,-0.417528,51.70572,E00120872
IPN0081906,Abbots Leigh,abbotsleigh,-2.666431,51.460662,E00074589
IPN0000094,Abbotsleigh,abbotsleigh,-3.685865,50.326828,E00102258
IPN0081909,Abbotsley,abbotsley,-0.202915,52.193192,E00091497
IPN0000099,Abbot's Mead,abbotsmead,-2.90152,53.206711,E00092704
IPN0000098,Abbotsmead,abbotsmead,-3.203801,54.116068,E00096917
IPN0081912,Abbots Morton,abbotsmorton,-1.96038,52.193952,E00165208
IPN0000101,Abbots Reading,abbotsreading,-3.010785,54.256618,E00098022
IPN0081914,Abbots Ripton,abbotsripton,-0.193268,52.387164,E00091838
IPN0000103,Abbot's Salford,abbotssalford,-1.901023,52.149647,E00159006
IPN0000104,Abbotstone,abbotstone,-1.195056,51.107417,E00118062
IPN0000106,Abbotswood,abbotswood,-3.194806,54.138439,E00096930
IPN0000107,Abbotswood,abbotswood,-0.559175,51.251938,E00155263
IPN0000108,Abbotswood,abbotswood,-2.160707,52.141847,E00181386
IPN0000109,Abbots Wood House,abbotswoodhouse,-3.194038,54.138366,E00096930
IPN0000110,Abbots Worthy,abbotsworthy,-1.293175,51.089616,E00118081
IPN0000113,Abbotts Ann,abbottsann,-1.529171,51.191069,E00117670
IPN0000115,Abbotts Barton,abbottsbarton,-1.306206,51.077555,E00118156
IPN0000116,Abbott's Mead,abbottsmead,-2.903497,53.203918,E00092341
IPN0000117,Abbott Street,abbottstreet,-2.021115,50.806779,E00103421
IPN0000118,Abbotts Wootton,abbottswootton,-2.880936,50.764155,E00104142
IPN0000119,Abby,abby,0.452321,52.581271,E00135851
IPN0000120,Abby Village,abbyvillage,-2.543745,53.700396,E00126783
IPN0000121,Abcott,abcott,-2.897029,52.402334,E00147656
IPN0000124,Abdy,abdy,-1.354976,53.484077,E00038992
IPN0000126,Abenhall,abenhall,-2.476928,51.854181,E00113160
IPN0000129,Aber,aber,-4.223715,52.112624,W00002892
IPN0081926,Aber,aber,-3.301614,51.883724,W00009770
IPN0081928,Aberaeron,aberaeron,-4.259312,52.242228,W00002708
IPN0000136,Aberangell,aberangell,-3.710444,52.673974,W00000306
IPN0000137,Aber-Arad,aberarad,-4.460004,52.034997,W00003475
IPN0000139,Aberarth,aberarth,-4.228255,52.250076,W00002883
IPN0081936,Aberavon,aberavon,-3.802045,51.593263,W00005088
IPN0000142,Aberbaiden Farm,aberbaidenfarm,-3.077819,51.826742,W00008144
IPN0000143,Aber-banc,aberbanc,-4.398422,52.050386,W00002837
IPN0000145,Aberbargoed,aberbargoed,-3.222922,51.692335,W00006945
IPN0000147,Aberbechan,aberbechan,-3.264843,52.532123,W00002564
IPN0000148,Aberbeeg,aberbeeg,-3.149227,51.713131,W00007656
IPN0000149,Aberbeeg,aberbeeg,-3.149113,51.708636,W00007118
IPN0000150,Aberbran,aberbran,-3.480075,51.955086,W00002693
IPN0000151,Abercanaid,abercanaid,-3.368385,51.723012,W00006873
IPN0081942,Abercarn,abercarn,-3.134784,51.647299,W00006956
IPN0000155,Abercastle,abercastle,-5.123115,51.958564,W00003111
IPN0000156,Aber Cegir,abercegir,-3.764451,52.600985,W00002358
IPN0000159,Aber Clydach,aberclydach,-3.299603,51.884025,W00009770
IPN0000160,Aber Clydach,aberclydach,-3.900801,51.692853,W00004043
IPN0000163,Abercorris,abercorris,-3.84023,52.654407,W00000305
IPN0000164,Abercraf,abercraf,-3.712778,51.802123,W00002272
IPN0000168,Abercregan,abercregan,-3.663669,51.656247,W00004896
IPN0000169,Abercregen,abercregen,-3.660268,51.655765,W00004896
IPN0000171,Abercwmboi,abercwmboi,-3.415797,51.688101,W00006022
IPN0000172,Abercych,abercych,-4.556349,52.036902,W00002984
IPN0081956,Abercynon,abercynon,-3.328531,51.646067,W00006034
IPN0000176,Aber-Cywarch,abercywarch,-3.67639,52.727147,W00000307
IPN0081969,Aberdaron,aberdaron,-4.707423,52.810567,W00000228
IPN0000187,Aberdeen,aberdeen,-2.608897,53.596715,E00181497
IPN0000207,Aberdesach,aberdesach,-4.350136,53.035625,W00000303
IPN0081990,Aberdovey,aberdovey,-4.044392,52.543927,W00000234
IPN0000217,Aberdulais,aberdulais,-3.774221,51.682424,W00004728
IPN0081996,Aberedw,aberedw,-3.346961,52.117127,W00002447
IPN0000220,Aber-Eiddy,abereiddy,-5.203822,51.936876,W00003109
IPN0000221,Abererch,abererch,-4.384113,52.905201,W00000237
IPN0000224,Aber-fan,aberfan,-3.348157,51.690335,W00006834
IPN0082000,Aberffraw,aberffraw,-4.464896,53.19139,W00000002
IPN0000227,Aber-ffrwd,aberffrwd,-3.929348,52.39125,W00002905
IPN0000229,Aberford,aberford,-1.340722,53.829159,E00056961
IPN0000233,Abergarw,abergarw,-3.577116,51.550892,W00005233
IPN0000234,Aber-Garwed,abergarwed,-3.713672,51.707063,W00005070
IPN0082006,Abergavenny,abergavenny,-3.018418,51.821904,W00008119
IPN0000239,Abergavenny Urban,abergavennyurban,-3.024574,51.833602,W00008059
IPN0000240,Abergeirw,abergeirw,-3.833702,52.83805,W00000286
IPN0082010,Abergele,abergele,-3.58296,53.284373,W00010453
IPN0000245,Aber-Giar,abergiar,-4.184816,52.045909,W00003693
IPN0000246,Aberglasney,aberglasney,-4.061064,51.879174,W00003684
IPN0000247,Abergorlech,abergorlech,-4.063398,51.983984,W00003676
IPN0000248,Abergwesyn,abergwesyn,-3.674425,52.159651,W00002508
IPN0082014,Abergwili,abergwili,-4.27224,51.868503,W00003357
IPN0000252,Abergwngu,abergwngu,-3.661131,52.34812,W00002898
IPN0000253,Abergwynfi,abergwynfi,-3.606419,51.653816,W00004950
IPN0000254,Abergwyngregyn,abergwyngregyn,-4.015271,53.233939,W00000254
IPN0000255,Abergynolwyn,abergynolwyn,-3.952886,52.644332,W00000292
IPN0082018,Aberhafesp,aberhafesp,-3.373677,52.521308,W00002605
IPN0000257,Aberhalen,aberhalen,-4.433954,52.038596,W00003706
IPN0000258,Aber Halt,aberhalt,-3.230321,51.575633,W00007461
IPN0000259,Aberhosan,aberhosan,-3.750309,52.561094,W00002352
IPN0000260,Aberkenfig,aberkenfig,-3.604069,51.538027,W00005178
IPN0000264,Aberlash,aberlash,-4.001279,51.802332,W00003661
IPN0000267,Aberllefenni,aberllefenni,-3.819851,52.672794,W00000304
IPN0000268,Aberllefenni,aberllefenni,-3.816141,52.672491,W00002355
IPN0000269,Aberllynfi,aberllynfi,-3.20616,52.029782,W00002374
IPN0000271,Aber-Magwr,abermagwr,-3.958478,52.345453,W00002953
IPN0000274,Aber-Meurig,abermeurig,-4.098761,52.185594,W00002874
IPN0000275,Abermorddu,abermorddu,-3.035518,53.10315,W00001449
IPN0000276,Abermorlais,abermorlais,-3.381453,51.748953,W00006851
IPN0000278,Abermule,abermule,-3.267406,52.544323,W00002340
IPN0000280,Aber-Nant,abernant,-3.432545,51.7191,W00006066
