type,zone_id,OA,sibling,parent
WARD,E05009291,E00190458,E05009289,E09000001
WARD,E05009293,E00000024,E05009297,E09000001
WARD,E05009294,E00166755,E05009292,E09000001
WARD,E05009295,E00166755,E05009292,E09000001
WARD,E05009296,E00166755,E05009292,E09000001
WARD,E05009298,E00166757,E05009311,E09000001
WARD,E05009300,E00166757,E05009311,E09000001
WARD,E05009301,E00166755,E05009292,E09000001
WARD,E05009303,E00166755,E05009292,E09000001
WARD,E05009306,E00166755,E05009292,E09000001
WARD,E05009307,E00190458,E05009289,E09000001
WARD,E05009309,E00166757,E05009311,E09000001
WARD,E05009312,E00166755,E05009292,E09000001
WARD,E05011090,E00096400,E05011091,E06000053
PAR,E04000108,E00039465,E04000112,E08100018
PAR,E04000141,E00044275,E04000140,E08100024
PAR,E04000202,E00056961,E04000205,E08100035
PAR,E04000214,E00058985,E04012595,E08100035
PAR,E04000225,E00060241,E04000238,E08100036
PAR,E04000235,E00059621,E04000248,E08100036
PAR,E04000250,E00059364,E04000233,E08100036
PAR,E04000251,E00059365,E04000234,E08100036
PAR,E04000253,E00060311,E04000255,E06100001
PAR,E04000259,E00060358,E04000254,E06100001
PAR,E04000279,E00061872,E04000268,E06100004
PAR,E04000292,E00062212,E04000311,E06100005
PAR,E04000293,E00062383,E04000295,E06100005
PAR,E04000294,E00062382,E04000288,E06100005
PAR,E04000298,E00062212,E04000311,E06100005
PAR,E04000300,E00062211,E04000310,E06100005
PAR,E04000301,E00062383,E04000295,E06100005
PAR,E04000305,E00062382,E04000288,E06100005
PAR,E04000377,E00065498,E04000475,E06100011
PAR,E04000392,E00065498,E04000475,E06100011
PAR,E04000404,E00065216,E04000361,E06100011
PAR,E04000520,E00066719,E04000533,E06100012
PAR,E04000523,E00066719,E04000533,E06100012
PAR,E04000532,E00066719,E04000533,E06100012
PAR,E04000550,E00067151,E04000565,E06100013
PAR,E04000563,E00066977,E04000576,E06100013
PAR,E04000625,E00069550,E04000665,E06100017
PAR,E04000629,E00172625,E04000677,E06100017
PAR,E04000632,E00069548,E04000651,E06100017
PAR,E04000633,E00069548,E04000651,E06100017
PAR,E04000636,E00069565,E04000662,E06100017
PAR,E04000639,E00069561,E04000634,E06100017
PAR,E04000646,E00069588,E04000655,E06100017
PAR,E04000657,E00069588,E04000655,E06100017
PAR,E04000659,E00172623,E04000638,E06100017
PAR,E04000663,E00069587,E04000654,E06100017
PAR,E04000669,E00069583,E04000635,E06100017
PAR,E04000671,E00069559,E04000656,E06100017
PAR,E04000672,E00172627,E04000670,E06100017
PAR,E04000673,E00069586,E04000667,E06100017
PAR,E04000674,E00069634,E04000644,E06100017
PAR,E04000678,E00069550,E04000665,E06100017
PAR,E04000680,E00069564,E04000647,E06100017
PAR,E04000693,E00070778,E04000682,E06100019
PAR,E04000699,E00070767,E04000890,E06100019
PAR,E04000701,E00070813,E04000694,E06100019
PAR,E04000708,E00071211,E04000824,E06100019
PAR,E04000715,E00168514,E04000907,E06100019
PAR,E04000717,E00070954,E04000897,E06100019
PAR,E04000720,E00071211,E04000824,E06100019
PAR,E04000721,E00070946,E04000793,E06100019
PAR,E04000722,E00070815,E04000766,E06100019
PAR,E04000723,E00070747,E04000725,E06100019
PAR,E04000728,E00070822,E04000702,E06100019
PAR,E04000729,E00070668,E04000884,E06100019
PAR,E04000731,E00070946,E04000793,E06100019
PAR,E04000737,E00070816,E04000772,E06100019
PAR,E04000740,E00071213,E04000724,E06100019
PAR,E04000742,E00070861,E04000749,E06100019
PAR,E04000743,E00070608,E04000876,E06100019
PAR,E04000745,E00070947,E04000719,E06100019
PAR,E04000746,E00070788,E04000864,E06100019
PAR,E04000751,E00070667,E04000883,E06100019
PAR,E04000753,E00070753,E04000878,E06100019
PAR,E04000755,E00070741,E04000684,E06100019
PAR,E04000759,E00070693,E04000845,E06100019
PAR,E04000767,E00070807,E04000741,E06100019
PAR,E04000769,E00070809,E04000771,E06100019
PAR,E04000770,E00070998,E04000887,E06100019
PAR,E04000780,E00168506,E04000710,E06100019
PAR,E04000794,E00070979,E04000861,E06100019
PAR,E04000798,E00070948,E04000754,E06100019
PAR,E04000801,E00168533,E04000792,E06100019
PAR,E04000805,E00070992,E04000683,E06100019
PAR,E04000810,E00070788,E04000864,E06100019
PAR,E04000811,E00070993,E04000815,E06100019
PAR,E04000814,E00187155,E04000733,E06100019
PAR,E04000818,E00070860,E04000791,E06100019
PAR,E04000834,E00070749,E04000837,E06100019
PAR,E04000841,E00070808,E04000760,E06100019
PAR,E04000850,E00070998,E04000887,E06100019
PAR,E04000854,E00070948,E04000754,E06100019
PAR,E04000855,E00070750,E04000840,E06100019
PAR,E04000868,E00168533,E04000792,E06100019
PAR,E04000871,E00070968,E04000918,E06100019
PAR,E04000885,E00071203,E04000789,E06100019
PAR,E04000886,E00070979,E04000861,E06100019
PAR,E04000889,E00070790,E04000894,E06100019
PAR,E04000898,E00070785,E04000816,E06100019
PAR,E04000902,E00070942,E04000813,E06100019
PAR,E04000904,E00070801,E04000913,E06100019
PAR,E04000912,E00070945,E04000704,E06100019
PAR,E04000914,E00070669,E04000892,E06100019
PAR,E04000928,E00173127,E04000933,E06100020
PAR,E04000980,E00189447,E04000974,E06100022
PAR,E04000987,E00072596,E04000951,E06100022
PAR,E04001118,E00078840,E04001102,E06100031
PAR,E04001120,E00079035,E04001124,E06100031
PAR,E04001159,E00082276,E04001169,E06100037
PAR,E04001199,E00082127,E04001156,E06100037
PAR,E04001202,E00082350,E04001163,E06100037
PAR,E04001257,E00084767,E04001244,E06100042
PAR,E04001276,E00175406,E04012187,E06100042
PAR,E04001458,E00089232,E04001499,E06100060
PAR,E04001459,E00089399,E04001470,E06100060
PAR,E04001479,E00089392,E04001494,E06100060
PAR,E04001483,E00169156,E04001544,E06100060
PAR,E04001484,E00089269,E04001539,E06100060
PAR,E04001496,E00089044,E04013116,E06100060
PAR,E04001500,E00089208,E04001556,E06100060
PAR,E04001520,E00089341,E04001518,E06100060
PAR,E04001543,E00169156,E04001544,E06100060
PAR,E04001545,E00178319,E04001528,E06100060
PAR,E04001676,E00091448,E04001682,E10000003
PAR,E04001689,E00091588,E04001743,E10000003
PAR,E04001691,E00091427,E04001736,E10000003
PAR,E04001707,E00091460,E04001686,E10000003
PAR,E04001720,E00091770,E04001703,E10000003
PAR,E04001722,E00091460,E04001686,E10000003
PAR,E04001744,E00091510,E04001755,E10000003
PAR,E04001749,E00091460,E04001686,E10000003
PAR,E04001750,E00091771,E04012014,E10000003
PAR,E04001812,E00092183,E04012748,E10000003
PAR,E04001834,E00092188,E04001790,E10000003
PAR,E04002385,E00096439,E04002415,E10000006
PAR,E04002387,E00179282,E04002398,E10000006
PAR,E04002421,E00179282,E04002398,E10000006
PAR,E04002429,E00096477,E04002440,E10000006
PAR,E04002441,E00096669,E04013029,E10000006
PAR,E04002452,E00097138,E04002453,E10000006
PAR,E04002455,E00097138,E04002453,E10000006
PAR,E04002476,E00097177,E04002467,E10000006
PAR,E04002526,E00097659,E04002550,E10000006
PAR,E04002534,E00097663,E04012962,E10000006
PAR,E04002537,E00097594,E04002559,E10000006
PAR,E04002542,E00097636,E04002582,E10000006
PAR,E04002553,E00097588,E04002515,E10000006
PAR,E04002571,E00097665,E04002562,E10000006
