table_code,var_name,ons_name,total,table_scode,prog_id,var_id,set_null
TS001,Residence type: Total,Residence type: Total; measures: Value,59597747,1000,1,1001,0
TS001,Residence type: Lives in a household,Residence type: Lives in a household; measures: Value,58555933,1000,2,1002,0
TS001,Residence type: Lives in a communal establishment,Residence type: Lives in a communal establishment; measures: Value,1041814,1000,3,1003,0
TS002,Marital and civil partnership status: Total,Marital and civil partnership status: Total; measures: Value,48566557,2000,1,2001,0
TS002,Marital and civil partnership status: Never married and never registered a civil partnership,Marital and civil partnership status: Never married and never registered a civil partnership; measures: Value,18401685,2000,2,2002,0
TS002,Marital and civil partnership status: Married or in a registered civil partnership,Marital and civil partnership status: Married or in a registered civil partnership; measures: Value,21683218,2000,3,2003,0
TS002,Marital and civil partnership status: Married or in a registered civil partnership: Married,Marital and civil partnership status: Married or in a registered civil partnership: Married; measures: Value,21580808,2000,4,2004,0
TS002,Marital and civil partnership status: Married or in a registered civil partnership: Married: Opposite sex,Marital and civil partnership status: Married or in a registered civil partnership: Married: Opposite sex; measures: Value,21446475,2000,5,2005,0
TS002,Marital and civil partnership status: Married or in a registered civil partnership: Married: Same sex,Marital and civil partnership status: Married or in a registered civil partnership: Married: Same sex; measures: Value,134333,2000,6,2006,0
TS002,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership; measures: Value,102410,2000,7,2007,0
TS002,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value,35682,2000,8,2008,0
TS002,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Same sex,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value,66728,2000,9,2009,0
TS002,"Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership; measures: Value",1085744,2000,10,2010,0
TS002,"Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still married","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",1077829,2000,11,2011,0
TS002,"Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",7915,2000,12,2012,0
TS002,Marital and civil partnership status: Divorced or civil partnership dissolved,Marital and civil partnership status: Divorced or civil partnership dissolved; measures: Value,4424623,2000,13,2013,0
TS002,Marital and civil partnership status: Divorced or civil partnership dissolved: Divorced,Marital and civil partnership status: Divorced or civil partnership dissolved: Divorced; measures: Value,4412725,2000,14,2014,0
TS002,Marital and civil partnership status: Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,Marital and civil partnership status: Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value,11898,2000,15,2015,0
TS002,Marital and civil partnership status: Widowed or surviving civil partnership partner,Marital and civil partnership status: Widowed or surviving civil partnership partner; measures: Value,2971287,2000,16,2016,0
TS002,Marital and civil partnership status: Widowed or surviving civil partnership partner: Widowed,Marital and civil partnership status: Widowed or surviving civil partnership partner: Widowed; measures: Value,2967103,2000,17,2017,0
TS002,Marital and civil partnership status: Widowed or surviving civil partnership partner: Surviving partner from civil partnership,Marital and civil partnership status: Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value,4184,2000,18,2018,0
TS006,Population Density: Persons per square kilometre,Population Density: Persons per square kilometre; measures: Value,1118674430.6,6000,1,6001,0
TS003,Household composition: Total,Household composition: Total; measures: Value,24784149,3000,1,3001,0
TS003,Household composition: One person household,Household composition: One person household; measures: Value,7481394,3000,2,3002,0
TS003,Household composition: One person household: Aged 66 years and over,Household composition: One person household: Aged 66 years and over; measures: Value,3197932,3000,3,3003,0
TS003,Household composition: One person household: Other,Household composition: One person household: Other; measures: Value,4283462,3000,4,3004,0
TS003,Household composition: Single family household,Household composition: Single family household; measures: Value,15614049,3000,5,3005,0
TS003,Household composition: Single family household: All aged 66 years and over,Household composition: Single family household: All aged 66 years and over; measures: Value,2283288,3000,6,3006,0
TS003,Household composition: Single family household: Married or civil partnership couple,Household composition: Single family household: Married or civil partnership couple; measures: Value,7516792,3000,7,3007,0
TS003,Household composition: Single family household: Married or civil partnership couple: No children,Household composition: Single family household: Married or civil partnership couple: No children; measures: Value,2585221,3000,8,3008,0
TS003,Household composition: Single family household: Married or civil partnership couple: Dependent children,Household composition: Single family household: Married or civil partnership couple: Dependent children; measures: Value,3535451,3000,9,3009,0
TS003,Household composition: Single family household: Married or civil partnership couple: All children non-dependent,Household composition: Single family household: Married or civil partnership couple: All children non-dependent; measures: Value,1396120,3000,10,3010,0
TS003,Household composition: Single family household: Cohabiting couple family,Household composition: Single family household: Cohabiting couple family; measures: Value,2864575,3000,11,3011,0
TS003,Household composition: Single family household: Cohabiting couple family: No children,Household composition: Single family household: Cohabiting couple family: No children; measures: Value,1564151,3000,12,3012,0
TS003,Household composition: Single family household: Cohabiting couple family: With dependent children,Household composition: Single family household: Cohabiting couple family: With dependent children; measures: Value,1120649,3000,13,3013,0
TS003,Household composition: Single family household: Cohabiting couple family: All children non-dependent,Household composition: Single family household: Cohabiting couple family: All children non-dependent; measures: Value,179775,3000,14,3014,0
TS003,Household composition: Single family household: Lone parent family,Household composition: Single family household: Lone parent family; measures: Value,2757433,3000,15,3015,0
TS003,Household composition: Single family household: Lone parent family: With dependent children,Household composition: Single family household: Lone parent family: With dependent children; measures: Value,1719768,3000,16,3016,0
TS003,Household composition: Single family household: Lone parent family: All children non-dependent,Household composition: Single family household: Lone parent family: All children non-dependent; measures: Value,1037665,3000,17,3017,0
TS003,Household composition: Single family household: Other single family household,Household composition: Single family household: Other single family household; measures: Value,191961,3000,18,3018,0
