id,prog_id,description,table_id,level,loaded
1,1,Area,TS000,0,1
1001,1,Residence type: Total,TS001,0,1
1002,2,Residence type: Lives in a household,TS001,1,1
1003,3,Residence type: Lives in a communal establishment,TS001,1,1
2001,1,Marital and civil partnership status: Total,TS002,0,1
2002,2,Marital and civil partnership status: Never married and never registered a civil partnership,TS002,1,1
2003,3,Marital and civil partnership status: Married or in a registered civil partnership,TS002,1,1
2004,4,Marital and civil partnership status: Married or in a registered civil partnership: Married,TS002,2,1
2005,5,Marital and civil partnership status: Married or in a registered civil partnership: Married: Opposite sex,TS002,3,1
2006,6,Marital and civil partnership status: Married or in a registered civil partnership: Married: Same sex,TS002,3,1
2007,7,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership,TS002,2,1
2008,8,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,TS002,3,1
2009,9,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Same sex,TS002,3,1
2010,10,"Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership",TS002,1,1
2011,11,"Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still married",TS002,2,1
2012,12,"Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",TS002,2,1
2013,13,Marital and civil partnership status: Divorced or civil partnership dissolved,TS002,1,1
2014,14,Marital and civil partnership status: Divorced or civil partnership dissolved: Divorced,TS002,2,1
2015,15,Marital and civil partnership status: Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,TS002,2,1
2016,16,Marital and civil partnership status: Widowed or surviving civil partnership partner,TS002,1,1
2017,17,Marital and civil partnership status: Widowed or surviving civil partnership partner: Widowed,TS002,2,1
2018,18,Marital and civil partnership status: Widowed or surviving civil partnership partner: Surviving partner from civil partnership,TS002,2,1
6001,1,Population Density: Persons per square kilometre,TS006,0,0
3001,1,Household composition: Total,TS003,0,1
3002,2,Household composition: One person household,TS003,1,1
3003,3,Household composition: One person household: Aged 66 years and over,TS003,2,1
